Beam Width,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr
1,0.6235126617664679,0.5127783239409223,0.41171311630666,0.3220989263607979,0.42891555518918756,0.5537112495796034,0.8726684365539661
2,0.6573643804372115,0.5318578042318142,0.4270126480281322,0.3301160394164864,0.4421610317762687,0.555740643910613,0.9179852624911988
3,0.6471699236901932,0.5252061938743336,0.42412800741290285,0.3380634635946424,0.4286183579372194,0.5436167054136094,0.8934811407171382
5,0.657303320244592,0.5416065160815983,0.4417714160979016,0.34843628202801225,0.4349575846117711,0.5658356680934417,0.9153191058729051
8,0.6234274188849863,0.5048417332312076,0.4073853379129235,0.30923416235189427,0.4067098899744371,0.5459932639487761,0.8556265106009837
10,0.6319269359240978,0.5064096669815863,0.40255384777792746,0.3052909501289768,0.41410840952408207,0.5389072892080027,0.8402575144056625
