Strategy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr
Baseline (no FT),0.657303320244592,0.5416065160815983,0.4417714160979016,0.34843628202801225,0.4349575846117711,0.5658356680934417,0.9153191058729051
Full Fine-Tune,0.7318548387096774,0.5568983703326964,0.41978092161461367,0.3058119357253021,0.48675013105570286,0.5628400778354473,1.013193339429652
LoRA,0.7176684881602914,0.5612207545028758,0.44067403494907,0.34016825825017183,0.5188979588551939,0.5770197923066748,1.0068127624868122
IA3,0.7504950495049505,0.595507790786111,0.4674596813237392,0.35889060986470844,0.5128748498328478,0.5907125724778504,1.0484434684724286
