Beam Width,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr
1,0.3697990222380554,0.1588738086540752,0.06125822720572535,0.028837175414863372,0.19802622575229079,0.2879553137265212,0.053962574807273504
2,0.34251611075995375,0.14956058612499018,0.05875456929057176,0.027940978767811434,0.18118504918171532,0.2636658628345127,0.05534830947549692
3,0.3443983402489626,0.1439711008687307,0.05621223058836113,0.02646169227966351,0.17188321127074552,0.25642139225446536,0.05385466141339355
5,0.3416149068322981,0.14044117776831064,0.04833154169977168,0.013261540577996802,0.16885854728323785,0.2527711482028887,0.05138086965268283
8,0.33737373737373744,0.1320503475619314,0.045935765605840076,0.012648039858793748,0.16835681162614347,0.2523015910439595,0.05101852101747781
10,0.33874239350912777,0.13546856602078217,0.046795467372273046,0.012845620816705932,0.17358633438224888,0.2597279331916639,0.041313934923248065
