Strategy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr
Baseline (no FT),0.3416149068322981,0.14044117776831064,0.04833154169977168,0.013261540577996802,0.16885854728323785,0.2527711482028887,0.05138086965268283
Full Fine-Tune,0.3742911153119093,0.17003481938969592,0.0714667751498299,0.036516976050763594,0.2139724392489759,0.3007394741502038,0.07685439396047931
LoRA,0.33805309734513267,0.1680053350160805,0.09463571331841451,0.05811790152696784,0.2206061911167323,0.29773151723102265,0.08208902255236489
IA3,0.39357429718875503,0.1897869234305169,0.09563004560033343,0.05147644005532169,0.22375802540657094,0.30452894109226053,0.0965241898194873
