Strategy,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,CIDEr,METEOR
greedy,0.31764636643450794,0.1292605863156627,0.057853857914538384,0.028560120084833773,0.23915563686635763,0.03359379375485513,0.16827078971430015
beam,0.309122426045681,0.13038870794516186,0.06139533887117081,0.02924336281133413,0.22942124627387503,0.036032242832496626,0.17071984168826912
sampling,0.2849111011193844,0.08750397647341318,2.782813730913505e-07,5.171425057326588e-10,0.1988545519235386,0.019446686884976756,0.13416222358156452
top_p,0.31769298363705295,0.12494861004356565,0.044497237799790416,4.133456451695521e-06,0.23374297733380073,0.030237488170136516,0.17231777506944848
