Beam Width,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,CIDEr,METEOR
1,0.31764636643450794,0.1292605863156627,0.057853857914538384,0.028560120084833773,0.23915563686635763,0.03359379375485513,0.16827078971430015
2,0.3026724447740833,0.12565687394639477,0.05655471326560476,0.027964823311293924,0.23310681322509844,0.029660858859055454,0.16937406791671214
3,0.30461040263015776,0.12959174940742443,0.05168547625123394,0.025779373174139465,0.22771135682978946,0.03060068000077214,0.173725265792814
5,0.309122426045681,0.13038870794516186,0.06139533887117081,0.02924336281133413,0.22942124627387503,0.036032242832496626,0.17071984168826912
8,0.32401800893772914,0.13920731216038326,0.06817728694519437,0.03763849303329692,0.23936027861658313,0.033312886030467,0.18139177455602298
10,0.3140556099331594,0.13441275926660992,0.06663855917073042,0.03701033680853488,0.23281608464997178,0.033231516119548166,0.1780842932257646
